Major_category,Grad_total,Grad_employed,Grad_unemployed,Grad_unemployment_rate,Grad_median,Grad_full_time_year_round,Grad_P25,Grad_P75
Agriculture & Natural Resources,24134.2,17928.7,499.5,0.033259789299999995,69130.0,14553.8,47960.0,102000.0
Arts,72552.0,52806.25,3069.875,0.056452252999999994,56543.75,33872.625,40375.0,80875.0
Biology & Life Science,118325.42857142857,97524.0,2287.285714285714,0.02751003042857143,83000.0,76599.71428571429,52157.142857142855,137071.42857142858
Business,209145.92307692306,163422.6923076923,7845.692307692308,0.05039113461538461,84153.84615384616,138962.53846153847,56192.307692307695,123307.69230769231
Communications & Journalism,115720.0,92097.5,4433.25,0.043220973999999995,63000.0,70327.25,43750.0,94000.0
Computers & Mathematics,83619.72727272728,65146.09090909091,2642.0,0.05108939545454545,85545.45454545454,53429.72727272727,58600.0,116200.0
Education,246581.25,152322.875,4183.625,0.027042835062500003,58437.5,105089.125,45424.75,77000.0
Engineering,73535.31034482758,56364.24137931035,2243.896551724138,0.03931673355172415,94327.58620689655,48552.55172413793,65972.41379310345,131234.4827586207
Health,122361.41666666667,95733.33333333333,2163.5,0.025487364083333335,80291.66666666667,71748.0,55700.0,120083.33333333333
Humanities & Liberal Arts,188398.33333333334,132438.13333333333,5668.866666666667,0.04418559246666666,67333.33333333333,96572.86666666667,45640.0,102533.33333333333
Industrial Arts & Consumer Services,45317.0,34191.142857142855,1283.2857142857142,0.06722841900000001,66571.42857142857,25670.285714285714,43342.857142857145,101000.0
Interdisciplinary,14405.0,12708.0,261.0,0.020124913,55000.0,9639.0,43600.0,74000.0
Law & Public Policy,56170.4,44966.4,2002.2,0.033999928400000004,76600.0,38645.6,52000.0,117400.0
Physical Sciences,105248.5,77036.5,2403.0,0.0254174481,88800.0,62640.0,56000.0,131200.0
Psychology & Social Work,181171.66666666666,139547.55555555556,5492.0,0.04203191444444444,62455.555555555555,102414.44444444444,43922.22222222222,88567.77777777778
Social Science,204412.22222222222,153507.77777777778,6725.333333333333,0.045818237,76444.44444444444,123423.66666666667,51222.22222222222,117111.11111111111
